SampleID	Day	Diet	HPDay	HCDay	HFDay	StdDay	NegDay	AnimalCode	Clostridioides	Chao1	Observed_otus	Shannon	Simpson	CDISeverity
D47HCY	47	HighCarb	Blank	HighCarb47	Blank	Blank	Blank	Y	548	37	37	2.751770047	0.761397507	NA
D47HFG	47	HighFat	Blank	Blank	HighFat47	Blank	Blank	G	568	87	87	4.59015045	0.92413874	NA
D47HFOP	47	HighFat	Blank	Blank	HighFat47	Blank	Blank	OP	1101	86	86	4.084564474	0.888811149	NA
D47PSB	47	Standard	Blank	Blank	Blank	Standard47	Blank	B	0	119	119	5.032218836	0.937788544	NA
D47PSG	47	Standard	Blank	Blank	Blank	Standard47	Blank	G	0	125	125	4.030158374	0.866110835	NA
D47PSOP	47	Standard	Blank	Blank	Blank	Standard47	Blank	OP	0	116	116	4.776517355	0.924085893	NA
D47PSR	47	Standard	Blank	Blank	Blank	Standard47	Blank	R	0	130	130	5.018863363	0.940719914	NA
D47PSY	47	Standard	Blank	Blank	Blank	Standard47	Blank	Y	0	97	97	4.152310913	0.887170671	NA
D47TNGB	47	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)47	B	0	178	178	4.238292937	0.867439535	NA
D47TNGG	47	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)47	G	0	163	163	4.310570298	0.878183927	NA
D47TNGOP	47	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)47	OP	0	198	198	4.980678094	0.912918981	NA
D47TNGR	47	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)47	R	0	161	161	5.648621309	0.963186374	NA
D47TNGY	47	Standard(-CDI)	Blank	Blank	Blank	Blank	Standard(-CDI)47	Y	0	163	163	4.641091071	0.895541178	NA
